baraj_adi,yil_2010,yil_2011,yil_2012,yil_2013,yil_2014,yil_2015,yil_2016,yil_2017,yil_2018,yil_2019,yil_2020,yil_2021
BADEMLI,39.4,42.5,40.2,39.9,29.1,47.5,6.7,2.7,0.9,5.6,3.8,10.8
BOGAZKOY,39.4,42.5,40.2,39.9,40.5,74.0,46.8,33.4,29.4,13.4,24.9,23.0
BABASULTAN,39.4,42.5,40.2,39.9,32.4,55.2,53.8,20.0,50.1,50.3,28.4,45.2
CINARCIK,0.0,5.7,18.8,0.7,7.2,30.8,7.4,21.4,4.2,0.9,12.0,12.0
DOGANCI,39.4,42.5,31.2,26.0,50.7,85.6,32.5,62.0,59.1,45.4,41.1,49.7
NILUFER,39.4,42.5,87.5,81.3,54.7,40.5,67.5,39.4,44.8,34.4,30.6,82.3
GOLBASI,17.1,26.8,19.0,23.3,65.5,37.7,100.0,100.0,29.1,2.3,21.7,39.2
DEMIRTAS,71.6,58.6,50.5,27.5,44.4,84.9,61.1,49.4,84.9,41.8,36.7,33.4
BUYUKORHAN,14.8,8.9,44.0,52.4,29.7,38.7,27.0,17.5,25.9,13.3,0.0,54.8
DEVECIKONAGI,39.4,42.5,40.2,39.9,0.0,55.9,100.0,0.0,66.5,67.0,48.4,75.0
HASANAGA,79.6,72.2,62.4,61.4,96.3,86.0,100.0,51.2,68.9,68.9,68.9,68.9
BAYRAMIC,16.4,16.2,14.4,10.8,24.0,11.1,7.4,4.7,12.5,7.3,0.0,21.4
AYVACIK,28.3,35.9,60.9,60.4,60.9,42.0,34.6,39.6,36.8,48.0,4.5,68.3
GOKCEADA,39.4,42.5,70.2,65.7,69.1,63.4,43.5,30.3,63.6,68.2,48.8,70.1
BAKACAK,35.6,33.7,22.3,33.6,22.4,27.9,2.7,5.6,14.0,44.3,14.1,11.5
TASOLUK,39.3,25.3,49.3,24.3,24.4,40.1,24.5,23.9,11.4,30.2,27.4,27.0
ATIKHISAR,39.4,42.5,60.0,52.7,47.8,55.7,33.1,30.9,61.7,57.5,25.5,79.2
UMURBEY,52.5,48.8,47.1,43.1,62.2,57.9,43.1,48.6,60.7,49.1,40.7,55.7
BAYRAMDERE,39.4,42.5,40.2,39.9,72.2,68.3,61.1,66.8,67.9,67.3,43.1,56.2
TAYFUR,49.4,43.2,38.4,50.9,52.2,44.7,26.1,28.8,63.1,52.6,32.3,35.0
COKAL,39.4,42.5,40.2,39.9,29.1,47.5,44.8,40.1,43.6,40.1,35.8,49.4
AKHASAN,39.4,42.5,40.2,39.9,0.0,94.7,90.5,85.7,97.7,100.0,87.8,87.8
GULDURCEK,64.4,66.9,61.7,46.8,43.5,75.0,59.5,55.2,56.0,61.8,49.5,44.5
OBRUK,40.5,64.2,73.0,5.7,54.5,68.9,32.9,56.4,53.7,56.4,10.4,57.7
KOCHISAR,39.4,42.5,40.2,39.9,51.4,76.6,79.7,74.1,60.8,61.2,44.0,16.1
YENIHAYAT,32.3,50.3,53.3,35.0,10.0,26.8,20.0,3.1,20.3,43.8,20.7,7.2
ALACA,41.8,44.3,48.2,36.3,5.7,70.4,62.2,2.0,23.1,77.2,58.4,36.2
